career_stage,primary_area,origin_region,work_region,llm_intelligence,llm_intelligence_future,agreement,supp_research_area,occupation,criteria,lacking_criteria,entity_intelligence,intelligence_tests,research_goals
Senior (faculty or industry),Cognitive Science,Europe,Europe,Strongly disagree,"No, I disagree",More would disagree than agree,"['Neuroscience', 'Psychology']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Goal Ach.', 'Planning', 'Adaptability', 'Consciousness', 'Understanding']","['Human', 'Cats']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Computational Linguistics,Europe,Europe,Disagree,"No, I disagree",More would agree than disagree,['Other'],['Academia'],"['Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Consciousness', 'Understanding']","['Perception', 'Consciousness']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Computational Linguistics,Europe,Europe,Disagree,"Yes, I agree",More would agree than disagree,"['CogSci', 'ML', 'NLP', 'Psycholinguistics']",['Academia'],"['Embodiment', 'Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Planning', 'Understanding']","['Knowledge acq.', 'Goal Ach.', 'Consciousness']","['Human', 'Cats', 'Ants', 'Amoebas', 'LLM-based chatbot']",['Generalization tests'],['Adding to the knowledge/scientific understanding']
"Other student (Master, Bachelor)",Machine Learning,Asia,Asia,Disagree,"No, I disagree",More would disagree than agree,['Other'],['Academia'],"['Embodiment', 'Perception', 'Generalization', 'Consciousness', 'Understanding']","['Problem solving', 'Reasoning', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants', 'Narrow systems']",['I do not believe that we currently have such a test'],['Practically Useful']
"Research student (PhD, MPhil)",Natural Language Processing,Europe,Europe,Disagree,"No, I disagree",Unsure,"['AI Ethics', 'Comp. Ling.']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Planning', 'Creativity', 'Consciousness']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['Practically Useful', 'interaction of tech and society']"
Junior (faculty or industry),Machine Learning,America,America,Agree,"Yes, I agree",Unsure,[],['Industry'],['Goal Ach.'],['Goal Ach.'],"['Human', 'Cats', 'Ants', 'Amoebas', 'Narrow systems', 'Autonomous robotic systems', 'Earlier chatbot', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Turing test', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
Postdoc,Natural Language Processing,Europe,Europe,Disagree,"No, I disagree",More would agree than disagree,"['AI', 'Comp. Ling.', 'ML', 'NLP']",['Industry'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Goal Ach.', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats']","['LM Benchmarks', 'Generalization tests', 'I do not believe that we currently have such a test']",['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Artificial Intelligence,Oceania,Oceania,Strongly disagree,"No, I strongly disagree",More would disagree than agree,"['AI', 'ML', 'Mathematics', 'NLP']",['Industry'],"['Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Knowledge acq.', 'Problem solving', 'Reasoning', 'Generalization']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],"['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Junior (faculty or industry),Natural Language Processing,Europe,Europe,Disagree,"No, I disagree",More would agree than disagree,['Information Science'],['Industry'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Knowledge acq.', 'Generalization', 'Creativity', 'Understanding']","['Human', 'Cats', 'Ants']",['Generalization tests'],['Practically Useful']
Junior (faculty or industry),Natural Language Processing,Europe,Europe,Disagree,"Yes, I agree",More would agree than disagree,[],['Government/non-profit'],"['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Creativity', 'Understanding']","['Problem solving', 'Reasoning', 'Adaptability', 'Creativity', 'Understanding']","['Human', 'Cats', 'Narrow systems']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding', 'Other']"
Junior (faculty or industry),Artificial Intelligence,Europe,Europe,Strongly disagree,"No, I strongly disagree",Unsure,['Other'],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats']","['IQ tests', 'Generalization tests']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Artificial Intelligence,America,America,Disagree,"Yes, I agree",More would agree than disagree,"['AI', 'ML', 'Mathematics']",['Academia'],"['Knowledge acq.', 'Planning', 'Adaptability']","['Perception', 'Goal Ach.', 'Understanding']","['Human', 'Cats', 'Ants', 'Narrow systems']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'Generalization tests']","['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Computational Linguistics,Asia,Europe,Strongly disagree,"Yes, I agree",More would disagree than agree,"['CSS', 'ML', 'NLP', 'Psychology']",['Academia'],"['Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Embodiment', 'Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Machine Learning,America,America,Strongly disagree,"No, I strongly disagree",More would agree than disagree,"['AI Ethics', 'AI', 'CSS', 'ML', 'Mathematics']",['Academia'],['Consciousness'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants', 'Amoebas']",['I do not believe that we currently have such a test'],"['Practically Useful', 'interaction of tech and society']"
Senior (faculty or industry),Machine Learning,Europe,America,Strongly disagree,"No, I strongly disagree",Unsure,"['Comp. Ling.', 'Information Science', 'NLP']",['Government/non-profit'],"['Env. interaction', 'Embodiment', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Env. interaction', 'Embodiment', 'Reasoning', 'Consciousness', 'Understanding']","['Human', 'Narrow systems']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Mathematics,Europe,Europe,Disagree,"Yes, I agree",More would agree than disagree,['Other'],['Academia'],"['Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Reasoning', 'Planning', 'Creativity', 'Consciousness']","['Human', 'Cats', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
Postdoc,Neuroscience,Asia,America,Agree,"Yes, I agree",Unsure,"['CogSci', 'ML', 'Neuroscience', 'Psychology', 'Other']",['Academia'],"['Perception', 'Knowledge acq.', 'Reasoning', 'Understanding']","['Perception', 'Knowledge acq.', 'Understanding']","['Human', 'LLM-based chatbot']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)","Psychology (cognitive, developmental)",America,America,Strongly disagree,"No, I strongly disagree",Unsure,[],['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Goal Ach.', 'Planning', 'Adaptability', 'Creativity', 'Consciousness']","['Human', 'Cats']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Postdoc,Neuroscience,Prefer not to say,Europe,Disagree,"No, I disagree",Unsure,['AI'],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Embodiment', 'Reasoning', 'Planning', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants', 'Amoebas', 'Autonomous robotic systems']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Other,Asia,America,Agree,"Yes, I agree",More would agree than disagree,"['ML', 'Mathematics', 'Neuroscience']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Env. interaction', 'Embodiment', 'Knowledge acq.', 'Planning', 'Consciousness']","['Human', 'Cats', 'Ants', 'LLM-based chatbot', 'LLM-based agents']","['Generalization tests', 'I do not believe that we currently have such a test']",['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Neuroscience,Asia,America,Strongly disagree,"No, I strongly disagree",More would agree than disagree,"['CogSci', 'Psychology']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Computational Social Science,America,America,Disagree,"No, I disagree",Unsure,['Psychology'],['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Embodiment', 'Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Postdoc,Other,Europe,Europe,Agree,"Yes, I agree",More would agree than disagree,"['AI', 'ML', 'Neuroscience']",['Academia'],"['Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Env. interaction', 'Embodiment', 'Knowledge acq.', 'Goal Ach.', 'Reasoning', 'Adaptability', 'Generalization', 'Consciousness']","['Cats', 'Ants', 'Narrow systems']","['IQ tests', 'Generalization tests', 'Other (please specify)']","['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Neuroscience,America,America,Strongly disagree,"No, I disagree",More would agree than disagree,"['AI Ethics', 'AI', 'CogSci', 'Philosophy', 'Psychology']","['Academia', 'Government/non-profit']","['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Perception', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Neuroscience,Europe,America,Disagree,"No, I disagree",Unsure,['Other'],['Academia'],"['Env. interaction', 'Embodiment', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Embodiment', 'Goal Ach.', 'Reasoning', 'Planning', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats']","['IQ tests', 'Generalization tests', 'I do not believe that we currently have such a test']",['Adding to the knowledge/scientific understanding']
Junior (faculty or industry),Neuroscience,America,Europe,Disagree,"No, I disagree",More would disagree than agree,['CogSci'],['Academia'],"['Embodiment', 'Perception', 'Knowledge acq.', 'Goal Ach.', 'Adaptability', 'Generalization']","['Embodiment', 'Perception', 'Knowledge acq.', 'Goal Ach.', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Human', 'Cats', 'Ants', 'Amoebas']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
"Other student (Master, Bachelor)",Cognitive Science,Europe,Europe,Agree,"Yes, I agree",Most would disagree with me,[],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness']","['Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Understanding']",['None'],['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Postdoc,Machine Learning,Europe,Europe,Agree,"No, I disagree",Unsure,"['NLP', 'Other']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Adaptability', 'Generalization']","['Problem solving', 'Goal Ach.', 'Reasoning', 'Planning']","['Human', 'Cats', 'LLM-based chatbot']",['I do not believe that we currently have such a test'],"[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),"Psychology (cognitive, developmental)",Europe,Europe,Disagree,"No, I disagree",More would agree than disagree,['Mathematics'],['Academia'],"['Embodiment', 'Perception', 'Generalization', 'Creativity']","['Embodiment', 'Creativity', 'Consciousness']",['Human'],['preference ranking'],['Adding to the knowledge/scientific understanding']
Postdoc,Computational Social Science,Asia,America,Agree,"Yes, I agree",More would agree than disagree,"['CogSci', 'Neuroscience', 'Philosophy']",['Academia'],"['Env. interaction', 'Knowledge acq.', 'Problem solving', 'Planning', 'Adaptability', 'Generalization', 'Creativity']",['Consciousness'],"['Human', 'Cats', 'Ants', 'Amoebas', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Turing test', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
Prefer not to say,Neuroscience,Europe,Prefer not to say,Disagree,"No, I disagree",Unsure,['AI'],['Undisclosed'],"['Knowledge acq.', 'Problem solving', 'Reasoning', 'Adaptability', 'Generalization']","['Reasoning', 'Planning', 'Generalization', 'Creativity']",['Human'],"['IQ tests', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Neuroscience,Asia,America,Agree,"Yes, I agree",Unsure,"['AI', 'ML']",['Academia'],"['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Embodiment', 'Perception', 'Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Consciousness']","['Human', 'Cats', 'Ants', 'LLM-based chatbot']",['Turing test'],['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Other,America,America,Disagree,"No, I disagree",Unsure,[],['Academia'],"['Env. interaction', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Embodiment', 'Perception', 'Goal Ach.', 'Reasoning', 'Planning', 'Generalization', 'Consciousness']","['Human', 'Cats', 'Ants']","['IQ tests', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
Postdoc,Cognitive Science,Europe,Europe,Agree,"Yes, I agree",Most would agree with me,"['AI', 'Philosophy']",['Academia'],"['Goal Ach.', 'Generalization']","['Reasoning', 'Generalization']","['Human', 'Cats', 'Ants', 'LLM-based chatbot', 'LLM-based agents']","['IQ tests', 'SAT/MSAT', 'LM Benchmarks', 'Turing test', 'Generalization tests']","[""Creating technology that qualifies for my notion of 'intelligence'""]"
Senior (faculty or industry),Artificial Intelligence,America,America,Disagree,"Yes, I agree",More would disagree than agree,['ML'],['Industry'],"['Env. interaction', 'Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Knowledge acq.', 'Reasoning', 'Planning', 'Adaptability']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful', 'Other']"
Other,Cognitive Science,Asia,Asia,Agree,"Yes, I agree",More would agree than disagree,"['AI', 'ML', 'Neuroscience', 'Philosophy', 'Psycholinguistics']",['Academia'],"['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Consciousness']","['Env. interaction', 'Embodiment', 'Perception', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants', 'Amoebas', 'Narrow systems', 'Autonomous robotic systems', 'LLM-based agents']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'Turing test', 'Generalization tests', 'I do not believe that we currently have such a test']","['interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
Senior (faculty or industry),Neuroscience,Europe,Europe,Strongly disagree,"No, I disagree",More would agree than disagree,['Information Science'],"['Academia', 'Government/non-profit']","['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Perception', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats']","['IQ tests', 'SAT/MSAT', 'Generalization tests']",['Adding to the knowledge/scientific understanding']
"Other student (Master, Bachelor)",Artificial Intelligence,America,America,Disagree,"No, I disagree",More would disagree than agree,"['ML', 'Neuroscience']",['Academia'],"['Perception', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Goal Ach.', 'Reasoning', 'Adaptability', 'Generalization']",['Human'],['I do not believe that we currently have such a test'],"[""Creating technology that qualifies for my notion of 'intelligence'"", 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Artificial Intelligence,Europe,Europe,Strongly agree,"Yes, I strongly agree",Unsure,"['AI Ethics', 'CogSci', 'Psychology']",['Undisclosed'],"['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Goal Ach.', 'Reasoning', 'Planning', 'Consciousness']","['Human', 'Cats', 'LLM-based chatbot']","['IQ tests', 'I do not believe that we currently have such a test']","[""Creating technology that qualifies for my notion of 'intelligence'"", 'Practically Useful']"
Senior (faculty or industry),Neuroscience,Europe,America,Disagree,"Yes, I agree",More would agree than disagree,"['CogSci', 'Mathematics']",['Academia'],"['Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Problem solving', 'Reasoning', 'Generalization']","['Human', 'Cats']","['IQ tests', 'Other (please specify)', 'I do not believe that we currently have such a test']",['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Neuroscience,Asia,America,Disagree,"Yes, I agree",More would agree than disagree,"['CSS', 'CogSci', 'ML', 'Psychology']",['Academia'],"['Problem solving', 'Goal Ach.', 'Reasoning', 'Adaptability', 'Generalization']","['Embodiment', 'Perception', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Adaptability', 'Creativity', 'Consciousness']",['Cats'],['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Neuroscience,Europe,America,Strongly disagree,"No, I disagree",Most would agree with me,"['AI', 'CogSci', 'Psychology']",['Academia'],"['Env. interaction', 'Knowledge acq.', 'Problem solving', 'Adaptability', 'Generalization', 'Understanding']","['Env. interaction', 'Embodiment', 'Knowledge acq.', 'Problem solving', 'Generalization', 'Creativity', 'Understanding']","['Human', 'Cats']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Junior (faculty or industry),Machine Learning,America,America,Disagree,"No, I disagree",Unsure,['Other'],['Academia'],"['Perception', 'Knowledge acq.', 'Problem solving', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats']",['I do not believe that we currently have such a test'],"['Practically Useful', 'Adding to the knowledge/scientific understanding']"
Postdoc,Neuroscience,America,Europe,Disagree,"Yes, I strongly agree",Unsure,"['CogSci', 'Psychology']",['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Env. interaction', 'Perception', 'Reasoning', 'Planning', 'Generalization']","['Human', 'Cats', 'Ants']","['SAT/MSAT', 'Generalization tests', 'I do not believe that we currently have such a test']",['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Neuroscience,Europe,Europe,Strongly agree,"Yes, I agree",,['CogSci'],['Academia'],"['Env. interaction', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Env. interaction', 'Embodiment', 'Reasoning']","['Human', 'Cats', 'LLM-based chatbot', 'LLM-based agents']","['LM Benchmarks', 'Turing test']",['Adding to the knowledge/scientific understanding']
Senior (faculty or industry),Human-Computer Interaction,Europe,Europe,Agree,"Yes, I agree",More would agree than disagree,"['AI', 'ML']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Creativity', 'Consciousness']","['Human', 'LLM-based agents']","['Turing test', 'Other (please specify)']",['Practically Useful']
Senior (faculty or industry),Other,America,America,Strongly disagree,"No, I disagree",More would agree than disagree,"['CSS', 'CogSci']",['Academia'],"['Env. interaction', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Knowledge acq.', 'Goal Ach.', 'Planning', 'Adaptability']","['Human', 'Cats']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Other,Other,Oceania,Oceania,Strongly disagree,"No, I disagree",More would agree than disagree,[],['Industry'],"['Perception', 'Problem solving', 'Generalization', 'Consciousness']","['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants', 'Amoebas']","['Other (please specify)', 'I do not believe that we currently have such a test']",['Other']
Senior (faculty or industry),Machine Learning,Asia,Asia,Disagree,"No, I strongly disagree",More would agree than disagree,"['AI Ethics', 'AI', 'NLP']","['Academia', 'Industry']","['Env. interaction', 'Perception', 'Knowledge acq.', 'Planning', 'Adaptability', 'Generalization']","['Env. interaction', 'Perception', 'Goal Ach.', 'Reasoning', 'Planning', 'Generalization', 'Understanding']","['Human', 'Cats', 'Ants']","['Generalization tests', 'I do not believe that we currently have such a test']","['Practically Useful', 'Adding to the knowledge/scientific understanding']"
"Other student (Master, Bachelor)",Artificial Intelligence,Asia,Asia,Agree,"Yes, I strongly agree",More would agree than disagree,"['AI', 'ML', 'Neuroscience']",['Academia'],"['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Generalization', 'Creativity', 'Understanding']","['Env. interaction', 'Embodiment', 'Reasoning', 'Planning', 'Adaptability', 'Creativity', 'Consciousness']","['Human', 'Amoebas', 'Autonomous robotic systems', 'LLM-based chatbot', 'LLM-based agents']","['preference ranking', 'IQ tests', 'SAT/MSAT', 'LM Benchmarks']","['Practically Useful', 'interaction of tech and society', 'Adding to the knowledge/scientific understanding']"
"Other student (Master, Bachelor)",Artificial Intelligence,Asia,Asia,Agree,"Yes, I agree",More would disagree than agree,"['ML', 'Mathematics', 'NLP']",['Academia'],"['Knowledge acq.', 'Problem solving', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity']","['Problem solving', 'Creativity', 'Consciousness']",['Human'],['I do not believe that we currently have such a test'],['Practically Useful']
Senior (faculty or industry),AI Ethics/Governance,Europe,Europe,Strongly disagree,"No, I disagree",Unsure,"['AI Ethics', 'Information Science']",['Government/non-profit'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Reasoning', 'Planning', 'Generalization', 'Consciousness']",['Human'],['I do not believe that we currently have such a test'],"['interaction of tech and society', 'Other']"
Senior (faculty or industry),Neuroscience,Europe,Europe,Strongly disagree,"No, I disagree",More would agree than disagree,"['AI', 'CogSci', 'ML', 'Psychology']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Problem solving', 'Goal Ach.', 'Planning', 'Adaptability', 'Generalization', 'Creativity']","['Embodiment', 'Knowledge acq.', 'Reasoning', 'Adaptability', 'Generalization', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants', 'Amoebas']",['Other (please specify)'],['Adding to the knowledge/scientific understanding']
"Research student (PhD, MPhil)",Neuroscience,Europe,Europe,Strongly disagree,"No, I disagree",More would agree than disagree,"['AI', 'ML']",['Academia'],"['Env. interaction', 'Embodiment', 'Perception', 'Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Env. interaction', 'Embodiment', 'Perception', 'Consciousness']","['Human', 'Cats', 'Ants']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
Junior (faculty or industry),Neuroscience,Europe,America,Disagree,"No, I disagree",More would agree than disagree,[],['Academia'],"['Knowledge acq.', 'Reasoning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Reasoning', 'Planning', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats', 'Ants', 'Amoebas']",['I do not believe that we currently have such a test'],"[""Creating technology that qualifies for my notion of 'intelligence'"", 'Adding to the knowledge/scientific understanding']"
"Research student (PhD, MPhil)",Cognitive Science,Europe,Europe,Strongly disagree,"No, I disagree",More would agree than disagree,[],['Academia'],"['Knowledge acq.', 'Problem solving', 'Goal Ach.', 'Reasoning', 'Planning', 'Adaptability', 'Generalization']","['Embodiment', 'Knowledge acq.', 'Planning', 'Adaptability', 'Generalization', 'Creativity', 'Consciousness', 'Understanding']","['Human', 'Cats']",['I do not believe that we currently have such a test'],['Adding to the knowledge/scientific understanding']
